codigo;nombre;codigo_padre;email_aprobador;rol_aprobador;seleccionable_en_contabilizacion;activo;orden
11Y0708;OPEN HOUSE;11Y0700;;GERENCIA_MERCADEO;true;true;9
11Y0709;AFET OFFICE;11Y0700;;GERENCIA_MERCADEO;true;true;10
11Y0710;OTROS MEDIOS DIGITALES;11Y0700;;GERENCIA_MERCADEO;true;true;11
11Y0711;VALLAS EN SITIO Y ROTULACIÓN;11Y0700;;GERENCIA_MERCADEO;true;true;12
11Y0712;FEE AGENCIA;11Y0700;;GERENCIA_MERCADEO;true;true;13
11Y0713;MANEJO REDES SOCIALES;11Y0700;;GERENCIA_MERCADEO;true;true;14
11Y0714;BODEGAJE;11Y0700;;GERENCIA_MERCADEO;true;true;15
11Y0715;MATERIALES PUBLICIDAD;11Y0700;;GERENCIA_MERCADEO;true;true;16
11Y0717;ARTÍCULOS PROMOCIONALES;11Y0700;;GERENCIA_MERCADEO;true;true;17
11Y0718;REGALÍAS ENTREGA CASAS;11Y0700;;GERENCIA_MERCADEO;true;true;18
11Y0725;OTROS COSTOS DE MERCADEO;11Y0700;;GERENCIA_MERCADEO;true;true;19
11Y0800;GASTOS VENTAS;11Y0000;;GERENCIA_VENTAS;false;true;7
11Y0801;REEMBOLSO SALARIOS ADMINISTRATIVOS;11Y0800;;GERENCIA_VENTAS;true;true;1
11Y0802;REEMBOLSO SALARIOS FIJOS VENTAS;11Y0800;;GERENCIA_VENTAS;true;true;2
11Y0803;REEMBOLSO ADELANTO CONTRATOS;11Y0800;;GERENCIA_VENTAS;true;true;3
11Y0804;REEMBOLSO FORMALIZACIONES;11Y0800;;GERENCIA_VENTAS;true;true;4
11Y0805;ALQUILERES;11Y0800;;GERENCIA_VENTAS;true;true;5
11Y0806;SEGURIDAD Y VIGILANCIA;11Y0800;;GERENCIA_VENTAS;true;true;6
11Y0807;SERVICIOS DE APOYO VENTAS;11Y0800;;GERENCIA_VENTAS;true;true;7
11Y0808;ESTRUCTURAS Y MONTAJE DE VALLAS;11Y0800;;GERENCIA_VENTAS;true;true;8
11Y0809;SERVICIOS PÚBLICOS;11Y0800;;GERENCIA_VENTAS;true;true;9
11Y0810;MENSAJERÍA;11Y0800;;GERENCIA_VENTAS;true;true;10
11Y0811;MOBILIARIO Y EQUIPO;11Y0800;;GERENCIA_VENTAS;true;true;11
11Y0812;LICENCIAS Y OTROS IT;11Y0800;;GERENCIA_VENTAS;true;true;12
11Y0813;SUMINISTROS DE LIMPIEZA, ASEO Y ATENCIONES;11Y0800;;GERENCIA_VENTAS;true;true;13
11Y0814;MANTENIMIENTO OFICINA Y CASA MODELO;11Y0800;;GERENCIA_VENTAS;true;true;14
11Y0815;MANUALES DE ENTREGA CASAS;11Y0800;;GERENCIA_VENTAS;true;true;15
11Y0816;COMISIONES TARJETAS;11Y0800;;GERENCIA_VENTAS;true;true;16
11Y0817;LEGAL, PATENTES Y GESTIÓN PERMISOS;11Y0800;;GERENCIA_VENTAS;true;true;17
11Y0818;HONORARIOS CONTRATOS EJECUTIVO EXTERNO;11Y0800;;GERENCIA_VENTAS;true;true;18
11Y0825;OTROS GASTOS DE VENTAS;11Y0800;;GERENCIA_VENTAS;true;true;19
11Y9900;GASTOS IMPREVISTOS ADMINISTRACION;11Y0000;;GERENCIA_VENTAS;false;true;8
11Y9901;GASTOS IMPREVISTOS INDIRECTOS;11Y9900;;GERENCIA_VENTAS;true;true;1
11Y9902;DIETAS Y GASTOS DE JUNTA DIRECTIVA;11Y9900;;GERENCIA_VENTAS;true;true;2
